Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00      499     0.00     0.00  __gnu_cxx::__promote_2<int, float, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<int, float>(int, float)
  0.00      0.84     0.00      444     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00      0.84     0.00      444     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00      0.84     0.00      442     0.00     0.00  sift::smooth_histogram(float*)
  0.00      0.84     0.00      442     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::_Vector_base<float, std::allocator<float> >::_Vector_impl&&)
  0.00      0.84     0.00      442     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data&&)
  0.00      0.84     0.00      442     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(std::_Vector_base<float, std::allocator<float> >&&)
  0.00      0.84     0.00      442     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> >&&)
  0.00      0.84     0.00      361     0.00     0.00  Image::~Image()
  0.00      0.84     0.00      208     0.00     0.00  std::vector<std::vector<Image, std::allocator<Image> >, std::allocator<std::vector<Image, std::allocator<Image> > > >::operator[](unsigned long)
  0.00      0.84     0.00      181     0.00     0.00  Image::Image(int, int, int)
  0.00      0.84     0.00      176     0.00     0.00  __gnu_cxx::__normal_iterator<Image*, std::vector<Image, std::allocator<Image> > >::__normal_iterator(Image* const&)
  0.00      0.84     0.00      176     0.00     0.00  Image const& std::forward<Image const&>(std::remove_reference<Image const&>::type&)
  0.00      0.84     0.00      144     0.00     0.00  Image&& std::forward<Image>(std::remove_reference<Image>::type&)
  0.00      0.84     0.00      138     0.00     0.00  stbi__get8(stbi__context*)
  0.00      0.84     0.00      136     0.00     0.00  Image* std::__addressof<Image>(Image&)
  0.00      0.84     0.00      136     0.00     0.00  void std::_Destroy<Image>(Image*)
  0.00      0.84     0.00      126     0.00     0.00  sift::Keypoint* std::__niter_base<sift::Keypoint*>(sift::Keypoint*)
  0.00      0.84     0.00       88     0.00     0.31  void __gnu_cxx::new_allocator<Image>::construct<Image, Image const&>(Image*, Image const&)
  0.00      0.84     0.00       88     0.00     0.00  __gnu_cxx::__normal_iterator<Image*, std::vector<Image, std::allocator<Image> > >::operator*() const
  0.00      0.84     0.00       88     0.00     0.00  __gnu_cxx::__normal_iterator<Image*, std::vector<Image, std::allocator<Image> > >::operator-(long) const
  0.00      0.84     0.00       88     0.00     0.31  void std::allocator_traits<std::allocator<Image> >::construct<Image, Image const&>(std::allocator<Image>&, Image*, Image const&)
  0.00      0.84     0.00       88     0.00     0.00  std::vector<Image, std::allocator<Image> >::end()
  0.00      0.84     0.00       88     0.00     0.00  std::vector<Image, std::allocator<Image> >::back()
  0.00      0.84     0.00       88     0.00     0.31  std::vector<Image, std::allocator<Image> >::push_back(Image const&)
  0.00      0.84     0.00       85     0.00     0.00  std::vector<sift::Keypoint, std::allocator<sift::Keypoint> >::size() const
  0.00      0.84     0.00       72     0.00     0.00  std::_Vector_base<Image, std::allocator<Image> >::_M_get_Tp_allocator()
  0.00      0.84     0.00       63     0.00     0.00  __gnu_cxx::new_allocator<sift::Keypoint>::_M_max_size() const
  0.00      0.84     0.00       58     0.00     0.00  stbi__get16be(stbi__context*)
  0.00      0.84     0.00       56     0.00     0.00  std::remove_reference<Image&>::type&& std::move<Image&>(Image&)
  0.00      0.84     0.00       48     0.00     0.00  Image::Image(Image&&)
  0.00      0.84     0.00       48     0.00     0.00  void __gnu_cxx::new_allocator<Image>::construct<Image, Image>(Image*, Image&&)
  0.00      0.84     0.00       48     0.00     0.00  __gnu_cxx::new_allocator<Image>::_M_max_size() const
  0.00      0.84     0.00       48     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Image*>(Image*, Image*)
  0.00      0.84     0.00       48     0.00     0.00  std::_Vector_base<Image, std::allocator<Image> >::_M_deallocate(Image*, unsigned long)
  0.00      0.84     0.00       48     0.00     0.00  void std::allocator_traits<std::allocator<Image> >::construct<Image, Image>(std::allocator<Image>&, Image*, Image&&)
  0.00      0.84     0.00       48     0.00     0.00  Image& std::vector<Image, std::allocator<Image> >::emplace_back<Image>(Image&&)
  0.00      0.84     0.00       48     0.00     0.00  std::vector<Image, std::allocator<Image> >::push_back(Image&&)
  0.00      0.84     0.00       48     0.00     0.00  std::vector<Image, std::allocator<Image> >* std::__addressof<std::vector<Image, std::allocator<Image> > >(std::vector<Image, std::allocator<Image> >&)
  0.00      0.84     0.00       48     0.00     0.00  Image const* std::__make_move_if_noexcept_iterator<Image, Image const*>(Image*)
  0.00      0.84     0.00       48     0.00     0.00  void std::_Destroy<Image*>(Image*, Image*)
  0.00      0.84     0.00       48     0.00     0.00  void std::_Destroy<Image*, Image>(Image*, Image*, std::allocator<Image>&)
  0.00      0.84     0.00       44     0.00     0.00  __gnu_cxx::__normal_iterator<sift::Keypoint*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >::__normal_iterator(sift::Keypoint* const&)
  0.00      0.84     0.00       44     0.00     0.00  std::_Vector_base<sift::Keypoint, std::allocator<sift::Keypoint> >::_M_get_Tp_allocator()
  0.00      0.84     0.00       42     0.00     0.00  __gnu_cxx::new_allocator<sift::Keypoint>::max_size() const
  0.00      0.84     0.00       42     0.00     0.00  std::_Vector_base<sift::Keypoint, std::allocator<sift::Keypoint> >::_M_get_Tp_allocator() const
  0.00      0.84     0.00       42     0.00     0.00  std::vector<sift::Keypoint, std::allocator<sift::Keypoint> >::max_size() const
  0.00      0.84     0.00       42     0.00     0.00  std::allocator_traits<std::allocator<sift::Keypoint> >::max_size(std::allocator<sift::Keypoint> const&)
  0.00      0.84     0.00       42     0.00     0.00  std::vector<sift::Keypoint, std::allocator<sift::Keypoint> >::_S_max_size(std::allocator<sift::Keypoint> const&)
  0.00      0.84     0.00       42     0.00     0.00  std::vector<sift::Keypoint, std::allocator<sift::Keypoint> >::_S_relocate(sift::Keypoint*, sift::Keypoint*, sift::Keypoint*, std::allocator<sift::Keypoint>&)
  0.00      0.84     0.00       42     0.00     0.00  std::vector<sift::Keypoint, std::allocator<sift::Keypoint> >::_S_do_relocate(sift::Keypoint*, sift::Keypoint*, sift::Keypoint*, std::allocator<sift::Keypoint>&, std::integral_constant<bool, true>)
  0.00      0.84     0.00       42     0.00     0.00  sift::Keypoint* std::__relocate_a<sift::Keypoint*, sift::Keypoint*, std::allocator<sift::Keypoint> >(sift::Keypoint*, sift::Keypoint*, sift::Keypoint*, std::allocator<sift::Keypoint>&)
  0.00      0.84     0.00       42     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<sift::Keypoint, void>::value, sift::Keypoint*>::type std::__relocate_a_1<sift::Keypoint, sift::Keypoint>(sift::Keypoint*, sift::Keypoint*, sift::Keypoint*, std::allocator<sift::Keypoint>&)
  0.00      0.84     0.00       41     0.00     0.00  std::ceil(float)
  0.00      0.84     0.00       40     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.00      0.84     0.00       29     0.00     0.00  stbi__get32be(stbi__context*)
  0.00      0.84     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<Image>::deallocate(Image*, unsigned long)
  0.00      0.84     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<Image>::allocate(unsigned long, void const*)
  0.00      0.84     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<Image>::new_allocator()
  0.00      0.84     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<Image>::~new_allocator()
  0.00      0.84     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<Image>::max_size() const
  0.00      0.84     0.00       24     0.00     0.00  std::_Vector_base<Image, std::allocator<Image> >::_M_get_Tp_allocator() const
  0.00      0.84     0.00       24     0.00     0.00  std::vector<Image, std::allocator<Image> >::capacity() const
  0.00      0.84     0.00       24     0.00     0.00  std::vector<Image, std::allocator<Image> >::max_size() const
  0.00      0.84     0.00       24     0.00     0.00  std::allocator<Image>::allocator()
